stockcode,description,category,revenue,qty_sold,orders,avg_price,cancel_rate,revenue_share
22672,French Bathroom Sign Blue Metal,French,4736.11,2850,370,1.95,1.05,0.0231
22399,Magnets Pack Of 4 Childhood Memory,Magnets,4734.6,4040,277,1.31,1.07,0.0231
22434,Balloon Pump With 10 Balloons,Balloon,4733.49,2547,281,2.04,0.69,0.0231
84508A,Camouflage Design Teddy,Camouflage,4722.56,2223,64,2.49,2.68,0.0231
85049G,Chocolate Box Ribbons,Chocolate,4718.62,3829,510,1.37,0.95,0.023
23569,Tradtional Alphabet Stamp Set,Tradtional,4717.66,954,192,5.3,0.51,0.023
22474,Spaceboy Tv Dinner Tray,Spaceboy,4716.83,966,253,6.23,0.39,0.023
21588,Retrospot Giant Tube Matches,Retrospot,4713.6,2056,182,2.52,1.03,0.023
23159,Set Of 5 Pancake Day Magnets,Set,4713.52,2293,223,2.32,1.32,0.023
22305,Coffee Mug Pink Paisley Design,Coffee,4711.53,2267,144,2.8,3.36,0.023
23558,Landmark Frame London Bridge,Landmark,4703.87,415,52,13.13,0.0,0.023
23389,Spaceboy Mini Backpack,Spaceboy,4697.54,1102,233,4.54,0.42,0.0229
23176,Abc Treasure Book Box,Abc,4693.08,2165,226,2.66,4.22,0.0229
48197,Door Mat Bird On The Wire,Door,4691.77,667,202,9.64,0.0,0.0229
22304,Coffee Mug Blue Paisley Design,Coffee,4689.56,2380,167,2.86,2.91,0.0229
20961,Strawberry Bath Sponge,Strawberry,4687.65,3530,514,1.71,0.38,0.0229
22562,Monsters Stencil Craft,Monsters,4682.3,3978,393,1.32,0.0,0.0229
21156,Red Spotty Childs Apron,Red,4678.23,2506,296,2.07,1.68,0.0228
20963,Apple Bath Sponge,Apple,4676.15,3459,509,1.76,0.19,0.0228
22721,Set Of 3 Cake Tins Sketchbook,Set,4671.81,1020,297,5.4,0.0,0.0228
23241,Treasure Tin Gymkhana Design,Treasure,4669.55,2165,363,2.49,1.35,0.0228
22075,6 Ribbons Elegant Christmas,6,4660.69,3079,358,1.81,0.27,0.0228
82581,Toilet Metal Sign,Toilet,4649.0,8399,913,0.69,0.97,0.0227
22348,Tea Bag Plate Red Retrospot,Tea,4648.93,5327,496,1.08,0.61,0.0227
72807B,Set/3 Ocean Scent Candle Jewel Box,Set/3,4645.87,1059,225,5.26,4.98,0.0227
21243,Pink  Spotty Plate,Pink,4645.09,2864,239,1.9,0.4,0.0227
15044B,Blue Paper Parasol,Blue,4644.13,1670,189,3.55,0.53,0.0227
21042,Red Spotty Apron,Red,4638.110000000001,794,204,6.72,2.42,0.0227
22574,Heart Wooden Christmas Decoration,Heart,4629.17,5074,415,1.07,0.47,0.0226
21328,Balloons  Writing Set,Balloons,4612.63,2441,643,2.26,0.0,0.0225
20675,Blue Polkadot Bowl,Blue,4611.89,3616,385,1.56,1.27,0.0225
21878,Pack Of 6 Sandcastle Flags Assorted,Pack,4586.48,5586,403,1.06,0.73,0.0224
22800,Antique Tall Swirlglass Trinket Pot,Antique,4586.4,1127,268,4.84,3.25,0.0224
23285,Pink Vintage Spot Beaker,Pink,4572.41,4807,191,1.07,0.52,0.0223
10135,Colouring Pencils Brown Tube,Colouring,4566.21,4226,324,1.4,0.61,0.0223
23404,Home Sweet Home Blackboard,Home,4561.76,1011,169,6.02,7.65,0.0223
15044D,Red Paper Parasol,Red,4559.650000000001,1596,227,3.44,1.72,0.0223
51014A,"Feather Pen,Hot Pink",Feather,4556.5,6671,376,0.82,1.05,0.0223
22601,Christmas Retrospot Angel Wood,Christmas,4547.19,5250,417,1.02,0.71,0.0222
85184D,S/4 Blue Round Decoupage Boxes,S/4,4546.78,8311,66,3.5,2.94,0.0222
22743,Make Your Own Flowerpower Card Kit,Make,4542.500000000001,1502,351,3.58,0.28,0.0222
37447,Ceramic Cake Design Spotted Plate,Ceramic,4540.849999999999,2891,364,1.99,7.34,0.0222
21614,Set Of 12 Rose Botanical T-Lights,Set,4538.17,1627,194,3.06,1.5,0.0222
21506,"Fancy Font Birthday Card,",Fancy,4534.49,10878,665,0.49,0.6,0.0221
21990,Modern Floral Stationery Set,Modern,4530.54,2453,497,2.27,0.2,0.0221
21564,Pink  Heart Shape Love Bucket,Pink,4524.5,1951,294,3.23,2.32,0.0221
22908,Pack Of 20 Napkins Red Apples,Pack,4524.0,5610,485,0.96,0.8,0.0221
23275,Set Of 3 Hanging Owls Ollie Beak,Set,4521.72,3720,325,1.47,1.18,0.0221
23163,Regency Sugar Tongs,Regency,4515.22,1832,209,3.33,0.95,0.0221
23112,Parisienne Curio Cabinet,Parisienne,4507.08,546,241,9.17,7.31,0.022
22760,"Tray, Breakfast In Bed","Tray,",4506.889999999999,356,120,14.21,6.98,0.022
23309,Set Of 60 I Love London Cake Cases,Set,4495.849999999999,8275,407,0.74,0.94,0.022
22747,Poppy'S Playhouse Bathroom,Poppy'S,4487.2,2035,402,2.41,0.25,0.0219
84279P,Cherry Blossom  Decorative Flask,Cherry,4476.67,1145,299,4.6,5.96,0.0219
23167,Small Ceramic Top Storage Jar,Small,4476.01,5847,231,1.0,3.64,0.0219
22070,Small Red Retrospot Mug In Box,Small,4462.95,1511,236,4.06,3.57,0.0218
84968C,Set Of 16 Vintage Pistachio Cutlery,Set,4451.95,375,133,15.19,1.03,0.0217
23288,Green Vintage Spot Beaker,Green,4444.2300000000005,4625,185,1.04,2.11,0.0217
22736,Ribbon Reel Making Snowmen,Ribbon,4439.28,2467,403,2.23,0.72,0.0217
21064,Boom Box Speaker Boys,Boom,4432.92,884,171,5.5,1.69,0.0216
21864,Union Jack Flag Passport Cover,Union,4431.54,1853,411,2.75,0.24,0.0216
22299,Pig Keyring With Light & Sound,Pig,4430.82,3912,202,1.63,2.42,0.0216
79341,Willow Branch Lights.,Willow,4423.69,725,79,8.05,23.08,0.0216
21244,Blue Polkadot Plate,Blue,4419.44,2641,241,2.03,1.75,0.0216
22367,Childs Apron Spaceboy Design,Childs,4412.87,2325,310,2.05,1.11,0.0216
23530,Wall Art Only One Person,Wall,4406.57,1050,86,5.58,0.0,0.0215
22548,Heads And Tails Sporting Fun,Heads,4404.31,3526,428,1.39,0.0,0.0215
84031A,Charlie+Lola Red Hot Water Bottle,Charlie+Lola,4404.0199999999995,1098,314,4.7,1.25,0.0215
22573,Star Wooden Christmas Decoration,Star,4403.83,4907,405,1.09,0.0,0.0215
21967,Pack Of 12 Skull Tissues,Pack,4401.44,15652,479,0.42,0.0,0.0215
21535,Retro Spot Small Milk Jug,Retro,4380.61,1719,297,2.97,4.06,0.0214
21523,Fancy Font Home Sweet Home Doormat,Fancy,4378.65,663,164,7.98,0.36,0.0214
22594,Christmas Gingham Tree,Christmas,4377.33,4791,412,1.11,0.24,0.0214
21810,Christmas Hanging Star With Bell,Christmas,4374.41,6959,344,0.96,0.55,0.0214
85053,French Enamel Candleholder,French,4363.28,2032,378,2.62,4.24,0.0213
79320,Flamingo Lights,Flamingo,4357.38,904,150,5.88,6.25,0.0213
22896,Peg Bag Apples Design,Peg,4356.2,1689,338,3.17,0.54,0.0213
84598,Boys Alphabet Iron On Patches,Boys,4350.14,20775,217,0.37,0.91,0.0212
20677,Pink Spotty Bowl,Pink,4348.93,3566,348,1.51,0.39,0.0212
85184C,S/4 Valentine Decoupage Heart Box,S/4,4345.96,2106,283,3.22,0.0,0.0212
15039,Sandalwood Fan,Sandalwood,4345.62,5101,306,1.14,1.28,0.0212
21844,Retro Spot Mug,Retro,4343.01,1481,154,3.4,4.8,0.0212
23349,Roll Wrap Vintage Christmas,Roll,4342.6,3221,337,1.54,0.58,0.0212
22611,Vintage Union Jack Shopping Bag,Vintage,4338.63,907,195,5.17,0.99,0.0212
22353,Lunch Box With Cutlery Fairy Cakes,Lunch,4320.21,1588,297,3.22,1.19,0.0211
23168,Classic Cafe Sugar Dispenser,Classic,4311.35,3075,325,1.8,5.0,0.0211
21913,Vintage Seaside Jigsaw Puzzles,Vintage,4302.48,1129,298,4.35,0.99,0.021
47580,Tea Time Des Tea Cosy,Tea,4298.6,1662,344,3.13,1.14,0.021
21153,Red Spotty Tablecloth,Red,4294.6900000000005,393,139,11.8,1.42,0.021
21012,Antique All Glass Candlestick,Antique,4293.7,2297,299,2.33,0.66,0.021
23050,Recycled Acapulco Mat Green,Recycled,4286.55,497,205,9.22,0.49,0.0209
20966,Sandwich Bath Sponge,Sandwich,4265.24,3007,420,1.8,0.24,0.0208
21243,Pink  Polkadot Plate,Pink,4265.05,2552,239,2.12,0.4,0.0208
22723,Set Of 6 Herb Tins Sketchbook,Set,4262.820000000001,1164,295,4.3,0.67,0.0208
72802B,Ocean Scent Candle In Jewelled Box,Ocean,4258.97,1559,212,4.41,4.05,0.0208
22312,Office Mug Warmer Polkadot,Office,4254.05,1233,269,4.29,1.09,0.0208
20979,36 Pencils Tube Red Spotty,36,4252.11,3395,275,1.57,3.66,0.0208
22744,Make Your Own Monsoon Card Kit,Make,4245.17,1515,300,3.22,1.29,0.0207
21556,Ceramic Strawberry Money Box,Ceramic,4244.41,1607,293,3.25,1.33,0.0207
20982,12 Pencils Tall Tube Skulls,12,4243.8,4851,576,0.96,1.02,0.0207
22497,Set Of 2 Tins Vintage Bathroom,Set,4239.07,929,279,5.25,0.71,0.0207
21068,Vintage Billboard Love/Hate Mug,Vintage,4224.63,4066,373,1.58,2.08,0.0206
21355,Toast Its - I Love You,Toast,4218.05,3452,341,1.46,0.86,0.0206
23089,Glass Bon Bon Jar,Glass,4215.78,2354,225,2.38,2.98,0.0206
72807A,Set/3 Rose Candle In Jewelled Box,Set/3,4213.54,924,216,5.68,4.39,0.0206
22600,Christmas Retrospot Star Wood,Christmas,4209.9,4860,429,1.01,0.68,0.0206
22797,Chest Of Drawers Gingham Heart,Chest,4205.5599999999995,242,140,18.55,9.68,0.0205
84950,Assorted Colour T-Light Holder,Assorted,4199.27,6041,274,0.91,3.51,0.0205
23144,Zinc T-Light Holder Stars Small,Zinc,4197.83,5089,274,0.94,1.08,0.0205
23012,Glass Apothecary Bottle Perfume,Glass,4197.110000000001,1071,246,4.63,1.98,0.0205
22851,Set 20 Napkins Fairy Cakes Design,Set,4193.679999999999,5167,523,0.95,0.75,0.0205
21470,Flower Vine Raffia Food Cover,Flower,4190.93,1102,319,4.2,1.23,0.0205
21474,Sweetheart Cream Steel Foldin Bench,Sweetheart,4189.5,210,94,19.95,5.05,0.0205
20754,Retrospot Red Washing Up Gloves,Retrospot,4187.43,1955,432,2.5,0.69,0.0205
21609,Set 12 Lavender  Botanical T-Lights,Set,4186.29,1499,218,3.03,0.0,0.0204
22530,Magic Drawing Slate Dolly Girl,Magic,4176.45,9873,464,0.5,0.42,0.0204
21238,Red Retrospot Cup,Red,4164.55,4731,469,1.06,2.35,0.0203
22833,Hall Cabinet With 3 Drawers,Hall,4163.54,120,13,48.15,0.0,0.0203
22127,Party Cones Carnival Assorted,Party,4153.11,3468,155,1.82,3.05,0.0203
22926,Ivory Giant Garden Thermometer,Ivory,4150.31,680,216,6.31,2.69,0.0203
21143,Antique Glass Heart Decoration,Antique,4149.15,2088,182,2.29,2.6,0.0203
23110,Parisienne Key Cabinet,Parisienne,4147.18,700,255,6.66,9.86,0.0203
23486,Antique Heart Shelf Unit,Antique,4145.47,275,74,17.81,7.5,0.0202
21539,Retro Spots Butter Dish,Retro,4142.87,867,173,5.65,6.4,0.0202
21590,Kings Choice Cigar Box Matches,Kings,4141.28,3448,286,1.25,0.67,0.0202
70006,Love Heart Pocket Warmer,Love,4139.5599999999995,4438,290,1.97,0.67,0.0202
23283,Doormat Vintage Leaf,Doormat,4122.2,564,142,9.18,0.85,0.0201
23255,Childrens Cutlery Circus Parade,Childrens,4097.22,1014,158,4.35,1.86,0.02
22125,Union Jack Hot Water Bottle,Union,4089.09,653,183,6.85,1.56,0.02
22807,Set Of 6 T-Lights Toadstools,Set,4086.5600000000004,1375,294,3.7,0.99,0.02
23009,I Love London Baby Gift Set,I,4082.5199999999995,263,103,15.99,0.0,0.0199
21911,Garden Metal Sign,Garden,4080.8499999999995,2546,344,2.04,0.29,0.0199
23193,Buffalo Bill Treasure Book Box,Buffalo,4079.28,1922,175,2.73,3.31,0.0199
21042,Red Retrospot Apron,Red,4079.2000000000003,679,195,7.11,2.42,0.0199
21472,Ladybird + Bee Raffia Food Cover,Ladybird,4077.82,1056,285,4.4,0.0,0.0199
84596B,Small Dolly Mix Design Orange Bowl,Small,4074.67,6221,725,0.85,0.41,0.0199
20981,12 Pencils Tall Tube Woodland,12,4069.16,4718,513,0.96,1.34,0.0199
21901,"Key Fob , Back Door",Key,4061.51,6158,688,0.81,0.7,0.0198
84580,Mouse Toy With Pink T-Shirt,Mouse,4051.94,1057,442,3.88,0.22,0.0198
72349B,Set/6 Purple Butterfly T-Lights,Set/6,4049.9900000000002,1990,287,2.43,0.34,0.0198
35924,Hanging Fairy Cake Decoration,Hanging,4049.4,2164,188,2.76,5.42,0.0198
21717,Easter Tin Bucket,Easter,4039.63,1554,176,2.93,1.12,0.0197
21679,Skulls  Stickers,Skulls,4034.5099999999998,4871,370,1.06,1.33,0.0197
23340,Vintage Christmas Cake Frill,Vintage,4034.08,2500,151,1.96,0.0,0.0197
84968A,Set Of 16 Vintage Rose Cutlery,Set,4026.8399999999997,339,119,13.74,1.91,0.0197
22639,Set Of 4 Napkin Charms Hearts,Set,4021.12,1651,275,2.71,0.35,0.0196
22053,Empire Design Rosette,Empire,4020.8899999999994,4551,87,1.51,2.25,0.0196
22284,Hen House Decoration,Hen,4017.74,2465,300,2.0,1.29,0.0196
22057,Ceramic Plate Strawberry Design,Ceramic,4011.73,3060,260,2.05,4.06,0.0196
21349,Ivy Heart Wreath,Ivy,4010.73,553,171,8.39,1.15,0.0196
23129,Heart Shaped Holly Wreath,Heart,3999.5,950,172,4.58,0.58,0.0195
21238,Red Spotty Cup,Red,3999.45,4746,434,0.97,2.35,0.0195
20967,Grey Floral Feltcraft Shoulder Bag,Grey,3997.34,1055,296,3.99,0.99,0.0195
22245,"Hook, 1 Hanger ,Magic Garden","Hook,",3988.85,4633,413,1.11,1.65,0.0195
21987,Pack Of 6 Skull Paper Cups,Pack,3988.06,6417,385,0.73,1.01,0.0195
21955,Union Jack Guns & Roses  Doormat,Union,3987.11,765,102,7.41,0.68,0.0195
22612,Tea Cosy Vintage Union Jack,Tea,3984.99,1001,109,4.2,0.89,0.0195
23306,Set Of 36 Doilies Pantry Design,Set,3983.6,2741,244,1.74,0.71,0.0195
85206A,Cream Felt Easter Egg Basket,Cream,3982.91,2327,318,1.81,1.23,0.0195
22244,"Hook, 3 Hanger ,Magic Garden","Hook,",3979.2,2028,208,2.64,3.36,0.0194
21524,Spotty  Home Sweet Home Doormat,Spotty,3978.34,666,120,7.14,0.35,0.0194
22959,Wrap Christmas Village,Wrap,3971.46,9713,283,0.42,1.72,0.0194
22356,Charlotte Bag Pink With White Spots,Charlotte,3959.52,4343,319,1.04,1.66,0.0193
21648,Assorted Tutti Frutti Small Purse,Assorted,3956.48,2940,231,1.83,3.32,0.0193
22788,Brocante Coat Rack,Brocante,3942.62,476,84,11.65,5.62,0.0193
23526,Wall Art Dog Licence,Wall,3939.76,604,114,8.88,1.37,0.0192
23557,Landmark Frame Baker Street,Landmark,3930.27,350,32,13.18,0.0,0.0192
22359,Glass Jar Kings Choice,Glass,3928.28,1236,194,3.65,6.48,0.0192
18097C,White Tall Porcelain T-Light Holder,White,3924.92,1763,211,2.83,0.93,0.0192
21812,Garland With Hearts And Bells,Garland,3917.4900000000002,805,205,5.6,1.9,0.0191
22980,Pantry Scrubbing Brush,Pantry,3910.0099999999998,2363,291,1.92,2.0,0.0191
22179,Set 10 Night Owl Lights,Set,3908.73,505,170,8.95,1.9,0.0191
23081,Green Metal Box Army Supplies,Green,3906.25,467,135,9.44,2.11,0.0191
46000M,Polyester Filler Pad 45X45Cm,Polyester,3901.3500000000004,2517,353,1.55,0.56,0.0191
23049,Recycled Acapulco Mat Red,Recycled,3896.84,456,186,8.92,1.06,0.019
22314,Office Mug Warmer Choc+Blue,Office,3888.4800000000005,1110,249,4.34,0.78,0.019
21192,White Bell Honeycomb Paper,White,3885.64,2167,216,2.35,0.45,0.019
22790,"Mirror, Arched Georgian","Mirror,",3884.000000000001,200,1,19.42,0.0,0.019
23552,Bicycle Puncture Repair Kit,Bicycle,3881.91,1863,116,2.26,0.0,0.019
37340,Multicolour Spring Flower Mug,Multicolour,3881.33,13665,204,3.35,1.91,0.019
21181,Please One Person  Metal Sign,Please,3868.07,1867,178,2.42,0.87,0.0189
21244,Blue  Spotty Plate,Blue,3859.6299999999997,2404,204,1.85,1.75,0.0188
22475,Skull Design Tv Dinner Tray,Skull,3856.8,769,256,6.0,0.38,0.0188
22591,Cardholder Gingham Christmas Tree,Cardholder,3854.15,1347,208,3.47,5.86,0.0188
22843,Biscuit Tin Vintage Green,Biscuit,3851.76,594,176,7.18,7.25,0.0188
22478,Birdhouse Garden Marker,Birdhouse,3848.41,2772,317,1.61,0.63,0.0188
22272,Feltcraft Doll Maria,Feltcraft,3848.34,1371,300,3.16,0.33,0.0188
22445,Pencil Case Life Is Beautiful,Pencil,3842.6600000000003,1251,271,3.47,0.0,0.0188
21447,12 Ivory Rose Peg Place Settings,12,3842.63,2776,336,1.63,0.29,0.0188
22118,Joy Wooden Block Letters,Joy,3842.07,799,271,5.4,0.72,0.0188
23111,Parisienne Sewing Box,Parisienne,3839.2400000000002,312,138,13.47,10.32,0.0187
21055,Tool Box Soft Toy,Tool,3839.0899999999997,386,222,10.47,0.89,0.0187
22892,Set Of Salt And Pepper Toadstools,Set,3835.71,3123,265,1.31,6.65,0.0187
21067,Vintage Red Teatime Mug,Vintage,3830.67,4763,266,1.51,1.84,0.0187
22778,Glass Cloche Small,Glass,3828.66,968,193,4.92,9.05,0.0187
22777,Glass Cloche Large,Glass,3821.82,453,99,10.18,4.76,0.0187
23194,Gymkhana Treasure Book Box,Gymkhana,3815.5299999999997,1715,200,2.75,3.56,0.0186
85040B,Set/4 Blue Flower Candles In Bowl,Set/4,3813.7799999999997,2451,252,1.74,3.02,0.0186
21846,Pink Diamante Pen In Gift Box,Pink,3803.4,1601,264,3.91,1.12,0.0186
21034,Rex Cash+Carry Jumbo Shopper,Rex,3801.8999999999996,4002,1902,0.95,0.45,0.0186
22355,"Charlotte Bag , Suki Design",Charlotte,3796.59,4406,339,1.09,1.74,0.0185
21100,Charlie And Lola Charlotte Bag,Charlie,3795.0,2540,269,2.23,1.46,0.0185
84016,Flag Of St George Car Flag,Flag,3791.67,1004,62,53.2,7.46,0.0185
22458,Cast Iron Hook Garden Fork,Cast,3790.47,1523,173,2.86,0.0,0.0185
72802A,Rose Scent Candle In Jewelled Box,Rose,3789.9,914,182,4.5,5.18,0.0185
71038,White Hanging Beads Candle Holder,White,3789.25,717,144,5.41,5.23,0.0185
23253,16 Piece Cutlery Set Pantry Design,16,3785.06,254,69,17.17,2.78,0.0185
21154,Red Spotty Oven Glove,Red,3778.37,2816,339,1.58,0.65,0.0185
84356,Pompom Curtain,Pompom,3771.04,750,133,6.54,1.48,0.0184
21743,Star Portable Table Light,Star,3767.0800000000004,1288,182,3.55,2.63,0.0184
21627,Elephant Carnival Pouffe,Elephant,3766.35,195,115,22.7,1.71,0.0184
23299,Food Cover With Beads Set 2,Food,3761.63,1009,145,4.37,1.35,0.0184
21813,Garland With Stars And Bells,Garland,3761.4100000000003,815,184,5.46,2.11,0.0184
22830,Utilty Cabinet With Hooks,Utilty,3760.71,181,18,26.24,0.0,0.0184
21329,Dinosaurs  Writing Set,Dinosaurs,3760.66,2082,555,2.11,0.36,0.0184
21845,Dairy Maid Stripe Mug,Dairy,3758.4100000000003,2521,158,2.17,6.51,0.0184
23092,Large Antique White Photo Frame,Large,3757.78,523,135,8.1,6.25,0.0184
21899,"Key Fob , Garage Design",Key,3756.66,5899,475,0.78,0.79,0.0183
22544,Mini Jigsaw Spaceboy,Mini,3756.52,9382,341,0.51,0.58,0.0183
22425,Enamel Colander Cream,Enamel,3754.4,732,278,5.65,1.63,0.0183
85049C,Romantic Pinks Ribbons,Romantic,3746.29,2981,500,1.34,0.59,0.0183
22356,"Charlotte Bag , Pink/White Spots",Charlotte,3740.38,4453,359,1.06,1.66,0.0183
22162,Heart Garland Rustic Padded,Heart,3737.9,1218,260,3.38,1.12,0.0183
21795,Set Of 3 Blue Stripe Basket,Set,3734.9400000000005,441,80,13.15,1.23,0.0182
22732,3D Vintage Christmas Stickers,3D,3733.84,2713,299,1.58,0.0,0.0182
22494,Emergency First Aid Tin,Emergency,3730.92,2765,468,1.72,2.69,0.0182
23064,Cinderella Chandelier,Cinderella,3717.56,221,23,45.49,30.3,0.0182
22579,Wooden Tree Christmas Scandinavian,Wooden,3715.68,7056,550,0.69,0.17,0.0181
21041,Red Spotty Oven Glove Double,Red,3715.23,1284,173,3.66,1.12,0.0181
22782,Set 3 Wicker Storage Baskets,Set,3712.2999999999997,254,84,19.99,0.0,0.0181
23236,Storage Tin Vintage Doily,Storage,3704.78,1272,190,3.41,4.9,0.0181
21351,Cinammon & Orange Wreath,Cinammon,3702.75,1099,177,5.48,2.72,0.0181
21495,Skulls And Crossbones Wrap,Skulls,3695.3,9065,267,0.42,0.27,0.018
23182,Toilet Sign Occupied Or Vacant,Toilet,3688.21,3741,433,1.53,1.35,0.018
22398,Magnets Pack Of 4 Swallows,Magnets,3687.48,4239,430,1.01,1.35,0.018
20692,Floral Elephant Soft Toy,Floral,3682.76,908,139,4.89,1.4,0.018
23130,Mistletoe Heart Wreath Green,Mistletoe,3676.18,882,179,4.53,1.08,0.018
23013,Glass Apothecary Bottle Tonic,Glass,3674.1600000000003,924,223,4.67,1.32,0.0179
20785,Fuschia Retro Bar Stool,Fuschia,3672.35,102,36,37.56,2.63,0.0179
22080,Ribbon Reel Spots Design,Ribbon,3668.58,2211,277,1.85,0.57,0.0179
21240,Blue Polkadot Cup,Blue,3658.27,4191,399,1.11,0.9,0.0179
22769,Chalkboard Kitchen Organiser,Chalkboard,3656.86,174,45,29.07,15.09,0.0179
22823,Chest Natural Wood 20 Drawers,Chest,3655.0,32,18,117.5,0.0,0.0178
21592,Retro Spot  Cigar Box Matches,Retro,3652.0,3104,190,1.24,0.2,0.0178
22962,Jam Jar With Pink Lid,Jam,3640.93,4366,354,1.05,5.59,0.0178
85040A,S/4 Pink Flower Candles In Bowl,S/4,3639.89,2065,400,1.98,3.94,0.0178
21486,Pink Heart Dots Hot Water Bottle,Pink,3638.67,1116,294,3.9,0.34,0.0178
85232D,Set/3 Decoupage Stacking Tins,Set/3,3636.66,701,223,5.95,3.04,0.0178
84558A,3D Dog Picture Playing Cards,3D,3628.11,1259,199,3.13,0.49,0.0177
22589,Cardholder Gingham Star,Cardholder,3626.78,1317,238,3.09,0.41,0.0177
85114B,Ivory Enchanted Forest Placemat,Ivory,3618.0499999999997,2017,223,2.12,0.44,0.0177
23294,Set Of 6 Snack Loaf Baking Cases,Set,3607.81,4392,354,1.09,1.1,0.0176
22461,Savoy Art Deco Clock,Savoy,3607.81,410,146,12.37,17.51,0.0176
22353,Lunchbox With Cutlery Fairy Cakes,Lunchbox,3597.68,1451,196,3.04,1.19,0.0176
23032,Drawer Knob Crackle Glaze Ivory,Drawer,3595.3799999999997,2154,194,1.78,5.14,0.0176
21787,Rain Poncho With Red Spots,Rain,3592.97,4727,161,1.03,0.63,0.0175
21866,Union Jack Flag Luggage Tag,Union,3591.5,2168,453,1.77,0.65,0.0175
22774,Red Drawer Knob Acrylic Edwardian,Red,3591.06,2791,184,1.56,2.12,0.0175
21509,Cowboys And Indians Birthday Card,Cowboys,3587.2200000000003,8696,628,0.5,0.32,0.0175
23085,Antique Silver Bauble Lamp,Antique,3583.23,376,78,10.84,5.62,0.0175
71477,Coloured Glass Star T-Light Holder,Coloured,3580.96,1012,52,4.48,7.52,0.0175
23497,Classic Chrome Bicycle Bell,Classic,3578.62,2498,193,1.63,0.5,0.0175
22944,Christmas Metal Postcard With Bells,Christmas,3577.9900000000002,4870,158,1.39,1.81,0.0175
20784,Red Retro Bar Stool,Red,3570.87,101,37,36.43,2.63,0.0174
21112,"Swiss Roll Towel, Pink  Spots",Swiss,3570.57,1516,150,3.28,1.55,0.0174
22704,Wrap Red Apples,Wrap,3564.76,8678,295,0.42,0.67,0.0174
22334,Dinosaur Party Bag + Sticker Set,Dinosaur,3552.3599999999997,2230,264,1.74,1.11,0.0173
21794,Classic French Style Basket Natural,Classic,3552.09,713,178,6.0,2.73,0.0173
22603,Christmas Retrospot Tree Wood,Christmas,3552.0899999999997,4143,388,1.03,0.5,0.0173
23210,White Rocking Horse Hand Painted,White,3551.53,2849,192,1.47,1.94,0.0173
22320,Birds Mobile Vintage Design,Birds,3545.02,598,180,6.2,5.26,0.0173
23332,Ivory Wicker Heart Large,Ivory,3542.7099999999996,2059,287,1.76,0.34,0.0173
20886,Box Of 9 Pebble Candles,Box,3540.22,1777,308,2.39,0.32,0.0173
21784,Shoe Shine Box,Shoe,3538.2799999999997,290,178,12.69,2.73,0.0173
21054,Nurse'S Bag Soft Toy,Nurse'S,3538.0,382,182,9.61,0.54,0.0173
20786,Black Retro Bar Stool,Black,3533.9,99,31,36.88,5.88,0.0173
23191,Bundle Of 3 Retro Note Books,Bundle,3529.8899999999994,2141,276,1.88,0.69,0.0172
22602,Christmas Retrospot Heart Wood,Christmas,3529.31,4307,289,0.97,0.54,0.0172
47505,Minature Coloured Gardening Set,Minature,3527.42,737,178,5.33,3.23,0.0172
21179,No Junk Mail Metal Sign,No,3517.9,4284,505,1.33,0.19,0.0172
23091,Zinc Herb Garden Container,Zinc,3516.64,556,204,6.74,1.87,0.0172
23353,6 Gift Tags Vintage Christmas,6,3510.05,4007,327,1.0,0.6,0.0171
22765,Newspaper Stand,Newspaper,3508.3,311,53,17.09,1.85,0.0171
23189,Set Of 12 Fork Candles,Set,3507.5099999999998,1249,141,3.4,0.7,0.0171
22902,Tote Bag I Love London,Tote,3506.56,1716,199,2.59,0.99,0.0171
84352,Silver Christmas Tree Bauble Stand,Silver,3505.58,206,126,17.84,4.55,0.0171
21499,Blue Polkadot Wrap,Blue,3504.84,8702,264,0.42,0.43,0.0171
22076,6 Ribbons Empire,6,3490.1899999999996,2353,375,1.73,0.0,0.017
21469,Polka Dot Raffia Food Cover,Polka,3482.01,1165,210,3.97,1.41,0.017
22352,Lunchbox With Cutlery Retrospot,Lunchbox,3481.89,1412,231,2.91,1.58,0.017
21466,Red Flower Crochet Food Cover,Red,3479.79,927,275,3.98,0.0,0.017
22764,"Rustic Wooden Cabinet, Glass Doors",Rustic,3462.49,183,25,24.58,10.71,0.0169
22309,Tea Cosy Red  Stripe,Tea,3459.08,1331,266,3.45,0.74,0.0169
20675,Blue Spotty Bowl,Blue,3455.94,2849,308,1.43,1.27,0.0169
21559,Strawberry Lunchbox With Cutlery,Strawberry,3454.09,1448,183,2.91,1.51,0.0169
22172,Metal Shelf With Rail,Metal,3451.82,378,185,9.58,2.11,0.0169
23350,Roll Wrap Vintage Spot,Roll,3445.08,2712,305,1.46,0.64,0.0168
23426,Metal Sign Drop Your Pants,Metal,3444.43,1275,206,3.33,0.48,0.0168
85123a,White Hanging Heart T-Light Holder,White,3444.02,516,99,6.54,0.0,0.0168
23354,6 Gift Tags 50'S Christmas,6,3429.4,3740,322,0.97,0.9,0.0167
22531,Magic Drawing Slate Circus Parade,Magic,3427.12,7944,402,0.49,0.0,0.0167
23156,Set Of 5 Mini Grocery Magnets,Set,3423.29,1665,205,2.26,0.96,0.0167
23127,Feltcraft Girl Nicole Kit,Feltcraft,3422.4,668,182,5.28,1.51,0.0167
